Aur Pyaar Ho Gaya
Pyaar Koi Khel Nahin
Pyaar Mein Kabhi Kabhi
Rajaji
Safari
Samar
Sangharsh
Sanyasi Mera Naam
Sarfarosh-E-Hind
Sautela
Shaheed Udham Singh
Shera
Shool
Sikandar Sadak Ka
Silsila Hai Pyar Ka
Sirf Tum
Sooryavansham
Split Wide Open
Tabaahi-The Destroyer
Thakshak
Trishakti
Vaastav: The Reality
Yeh Hai Mumbai Meri Jaan
Zulmi
Mohabbatein
Kaho Naa... Pyaar Hai
Mission Kashmir
Dulhan Hum Le Jayenge
Refugee
Josh
Har Dil Jo Pyar Karega
Fiza
Hamara Dil Aapke Paas Hai
Mela
Aaghaaz 
Aaj Ka Ravan
Anjaane
Anokha Moti
Apradhi Kaun
Astitva
Baaghi
Badal
Bas Yaari Rakho
Bawandar
Beti No.1
Bhai Thakur
Bichhoo
Billa No. 786
Bulandi
Chal Mere Bhai
Champion
Deewane
Dhai Akshar Prem Ke
Dhadkan
Dil Ki Dhadkan
Dil Pe Mat Le Yaar
Dr. Babasaheb Ambedkar
Dr Mukta
Gaja Gamini
Gang
Ghaath
Hadh Kar Di Aapne
Hari-Bhari
Hera Pheri
Hey Ram
Hum To Mohabbat Karega
Jallad No. 1
Jis Desh Mein Ganga Rehta Hain
Joru Ka Ghulam
Jungle
Kabrastan
Kahin Pyaar Na Ho Jaaye
Kairee
Karobaar: The Business of Love
Kharidaar
Khauff
Khiladi 420
Krodh
Kunwara
Kurukshetra
Kya Kehna
Le Chal Apne Sang
Lekroo
Meri Jung Ka Elaan
Nidaan
Pandavas: The Five Warriors
Papa the Great
Phir Bhi Dil Hai Hindustani
The Prince of Light
Pukar
Raja Ko Rani Se Pyar Ho Gaya
Raju Chacha
The Revenge: Geeta Mera Naam
Saanjh
Second Generation
Shikari
Snip!
Sultaan
Tapish
Tarkieb
Tera Jadoo Chal Gayaa
Tune Mera Dil Le Liyaa
Zindagi Zindabad
Kabhi Khushi Kabhie Gham...
Gadar: Ek Prem Katha
Lagaan
Indian
Dil Chahta Hai
Chori Chori Chupke Chupke
Ek Rishtaa: The Bond of Love
Yaadein
Lajja
Jodi No.1
Ajnabee
Abhay
Aamdani Atthanni Kharcha Rupaiya
Aashiq
Aks
Albela
Aśoka
Bas Itna Sa Khwaab Hai
Bengal Tiger
Bhairav
Censor
Chandni Bar
Chhupa Rustam: A Musical Thriller
Daman
Dattak
Deewaanapan
Dil Ne Phir Yaad Kiya
Ehsaas: The Feeling
Farz
Grahan
Hadh: Life on the Edge of Death
Hum Ho Gaye Aapke
Ittefaq
Kasam
Kasoor
Kuch Khatti Kuch Meethi
Kyo Kii Main Jhuth Nahin Bolta
Lagaan: Once Upon a Time in India
Love Ke Liye Kuchh Bhi Karega
Love You Hamesha
Maya
Mitti
Moksha
Mujhe Kucch Kehna Hai
Mujhe Meri Biwi Se Bachaao
Nayak
Officer
One 2 Ka 4
Paagalpan
Pyaar Ishq Aur Mohabbat
Pyaar Tune Kya Kiya
Pyaar Zindagi Hai
Rahul
Rehnaa Hai Terre Dil Mein
Shirdi Sai Baba
Style
Tamboo Mein Bamoo
Tera Mera Saath Rahen
Tere Liye
Tum Bin
Yeh Raaste Hain Pyaar Ke
Yeh Teraa Ghar Yeh Meraa Ghar
Yeh Zindagi Ka Safar
Zubeidaa
Devdas
Kaante
Raaz
Hum Tumhare Hain Sanam
Aankhen
Mujhse Dosti Karoge!
Humraaz
Saathiya
Awara Paagal Deewana
Company
Deewangee
16 December
23rd March 1931: Shaheed
Aap Mujhe Achche Lagne Lage
Ab Ke Baras
Agni Varsha
Akhiyon Se Goli Maare
Annarth
Ansh: The Deadly Part
Baaja
Be-Lagaam
Badhaai Ho Badhaai
Bollywood Queen
Bomb the System
Chalo Ishq Ladaaye
Chor Machaaye Shor
Desh Devi
Dil Hai Tumhaara
Dil Vil Pyar Vyar
Ek Chhotisi Love Story
Encounter: The Killing
Filhaal
Ghaav: The Wound
Gunaah
Haan Maine Bhi Pyaar Kiya
Hathyar
Hum Kisise Kum Nahin
Hum Pyar Tumhi Se Kar Baithe
Jaani Dushman: Ek Anokhi Kahani
Jang Aur Aman
Jeena Sirf Merre Liye
Kabhie Tum Kabhie Hum
Karz: The Burden of Truth
Kehtaa Hai Dil Baar Baar
Kitne Door Kitne Paas
Koi Mere Dil Se Poochhe
Kranti
Kuch Tum Kaho Kuch Hum Kahein
Kya Yehi Pyaar Hai
Kyaa Dil Ne Kahaa
Lal Salaam
Maa Tujhhe Salaam
Maine Dil Tujhko Diya
Makdee
Maseeha
Mere Yaar Ki Shaadi Hai
Mitr, My Friend
Mohabbat Ho Gayi Hai Tumse
Mulaqaat
Na Tum Jaano Na Hum
Nishad
Om Jai Jagadish
Pitaah
Pyaar Diwana Hota Hai
Pyar Ki Dhun
Pyaasa
Rishtey
Road
Shaheed-E-Azam
Shakti - The Power
Shararat
Soch
Sur: The Melody of Life
The Legend of Bhagat Singh
Tumko Na Bhool Paayenge
Tum Se Achcha Kaun Hai
Waah! Tera Kya Kehna
Yeh Dil Aashiqanaa
Yeh Hai Jalwa
Yeh Kaisi Mohabbat
Yeh Kya Ho Raha Hai?
Yeh Mohabbat Hai
Zindagi Khoobsoorat Hai
Kal Ho Naa Ho
Koi... Mil Gaya
The Hero: Love Story of a Spy
Chalte Chalte
Baghban
Main Prem Ki Diwani Hoon
Munna Bhai M.B.B.S.
LOC: Kargil
Andaaz
Qayamat: City Under Threat
3 Deewarein
88 Antop Hill
Aaj Ka Andha Kanoon
Aanch
Aapko Pehle Bhi Kahin Dekha Hai
Armaan
Baaz: A Bird in Danger
Bas Yun Hi
Basti
Bhoot
Boom
Calcutta Mail
Chori Chori
Chupke Se
Chura Liyaa Hai Tumne
Darna Mana Hai
Dhoop
Dhund
Dil Ka Rishta
Dil Pardesi Ho Gayaa
Dum
Ek Alag Mausam
Ek Aur Ek Gyarah
Ek Din 24 Ghante
Escape from Taliban
Final Solution
Footpath
Fun2shh... Dudes in the 10th Century
Gangaajal
Green Card Fever
Haasil
Hawa
Hawayein
Humein Tumse Pyar Ho Gaya Chupke Chupke
Hungama
Indian Babu
Inteha
Ishq Vishk
Jaal: The Trap
Jajantaram Mamantaram
Janasheen
Jhankaar Beats
Jism
Jodi Kya Banayi Wah Wah Ramji
Joggers Park
Kaash... Hamara Dil Pagal Na Hota
Kagaar: Life on the Edge
Kahan Ho Tum
Kaise Kahoon Ke... Pyaar Hai
Kash Aap Hamare Hote
Kaya Poochhe Maya Se
Khanjar: The Knife
Khel – No Ordinary Game
Khushi
Khwahish
Kucch To Hai
Kuch Naa Kaho
Kyon?
Larger Than Life
Love at Times Square
Maa Santoshi Maa
Main Madhuri Dixit Banna Chahti Hoon
Market
Miss India: The Mystery
Mudda: The Issue
Mumbai Matinee
Mumbai Se Aaya Mera Dost
Naag Lok
Nayee Padosan
October
Om
Oops!
Out of Control
Paanch
Parwana
Patth
Pehli Nazar Ka Pehla Pyaar: Love at First Sight
Pinjar
The Pink Mirror
Praan Jaye Par Shaan Na Jaye
Raghu More: Bachelor of Hearts
Raghu Romeo
Raja Bhaiya
Rasikan Re
Right Here, Right Now
Rules: Pyaar Ka Superhit Formula
Saaya
Sala Bandar!
Samay: When Time Strikes
Sanatta: The Silence
Sandhya
Satta
Satyaghath: Crime Never Pays
Shanti
Sssshhh...
Stumped
Supari
Surya
Tada
Taj Mahal: A Monument of Love
Talaash: The Hunt Begins...
Tareekh
Tehzeeb
Tere Naam
Tu Bal Bramhachari Main Hoon Kanya Kunwari
Tujhe Meri Kasam
Tumse Milke Wrong Number
Valentine Days
Waisa Bhi Hota Hai Part II
Xcuse Me
Yeh Dil
Zameen
Veer Zaara
Main Hoon Na
Dhoom
Mujhse Shaadi Karogi
Khakee
Hum Tum
Swades
Murder
Aitraaz
Aabra Ka Daabra
Aan: Men at Work
Ab... Bas!
Ab Tumhare Hawale Watan Saathiyo
Aetbaar
Agnipankh
Asambhav
Bardaasht
Bhola in Bollywood
Chameli
Chand Bujh Gaya
Charas
Deewaar
Dev
Dil Bechara Pyaar Ka Maara
Dil Maange More
Dil Ne Jise Apna Kahaa
Dobara
Dukaan
Ek Se Badhkar Ek
Ek Hasina Thi
Fida
Garv
Gayab
Girlfriend
Hatya
Hava Aney Dey
Hawas
Hyderabad Blues 2
I Proud to Be an Indian
Insaaf: The Justice
Inteqam: The Perfect Game
Ishq Hai Tumse
Julie
Kaun Hai Jo Sapno Mein Aaya
Kaya Taran
Khamosh Pani
King of Bollywood
Kis Kis Ki Kismat
Kiss Kis Ko
Krishna Cottage
Kyun! Ho Gaya Na...
Lakeer – Forbidden Lines
Lakshya
Let's Enjoy
Madhoshi
Maqbool
Masti
Meenaxi: A Tale of Three Cities
Meri Biwi Ka Jawaab Nahin
Musafir
Muskaan
Naach
Netaji Subhas Chandra Bose: The Forgotten Hero
Paap
Paisa Vasool
Phir Milenge
Plan
Police Force: An Inside Story
Popcorn Khao! Mast Ho Jao
Raincoat
Rakht
Rok Sako To Rok Lo
Rudraksh
Run
Shaadi Ka Laddoo
Shart: The Challenge
Sheen
Shukriya: Till Death Do Us Apart
Silence Please...The Dressing Room
Stop!
Suno Sasurjee
Taarzan: The Wonder Car
Thoda Tum Badlo Thoda Hum
Tumsa Nahin Dekha: A Love Story
Uff Kya Jaadoo Mohabbat Hai
Vaastu Shastra
Veer-Zaara
Wajahh: A Reason to Kill
Woh
Yeh Lamhe Judaai Ke
Yuva
No Entry
Black
Bunty Aur Babli
Salaam Namaste
Garam Masala
Mangal Pandey: The Rising
Maine Pyaar Kyun Kiya?
Waqt: The Race Against Time
Sarkar
Dus
7½ Phere
99.9 FM
Aashiq Banaya Aapne
[2]
Apaharan
Bachke Rehna Re Baba
Bewafaa
Bhagmati
Blackmail
Bluffmaster!
Brides Wanted
Bullet: Ek Dhamaka
Chaahat – Ek Nasha
Chand Sa Roshan Chehra
Chetna: The Excitement
Chocolate
Chor Mandi
Classic – Dance of Love
D
Dansh
Deewane Huye Paagal
Dil Jo Bhi Kahey...
Dosti: Friends Forever
Double Cross - Ek Dhoka
Dreams
Ek Ajnabee
Ek Khiladi Ek Haseena
Elaan
Film Star
Fun – Can Be Dangerous Sometimes
Hanuman
Hazaaron Khwaishein Aisi
Home Delivery
Hum Dum
Insan
Iqbal
Jackpot
Jai Chiranjeeva
Jalwa - Fun in Love
James
Jo Bole So Nihaal
Jurm
Kaal
Kalyug
Karam
Kasak
Khamoshh... Khauff Ki Raat
Kisna: The Warrior Poet
Koi Aap Sa
Koi Mere Dil Mein Hai
Kuchh Meetha Ho Jaye
Kyaa Kool Hai Hum
Kyon Ki
Lucky: No Time for Love
Main Aisa Hi Hoon
Main, Meri Patni Aur Woh
Maine Gandhi Ko Nahin Mara
Mashooka
Mazaa Mazaa
Morning Raga
Mr Ya Miss
Mr Prime Minister
Mumbai Xpress
Mumbai Godfather
My Brother... Nikhil
My Wife's Murder
Naam Gum Jaayega
Naina
Neal 'n' Nikki
Nigehbaan: The Third Eye
Padmashree Laloo Prasad Yadav
Page 3
Pehchaan: The Face of Truth
Paheli
Parineeta
Pyaar Mein Twist
Ramji Londonwale
Revati
Rog
Saathi: The Companion
Sau Jhooth Ek Sach
Sauda - The Deal
Sehar
Shaadi No. 1
Shabd
Shabnam Mausi
Sheesha
Shikhar
Silsiilay
Sitam
Socha Na Tha
Ssukh
Taj Mahal: An Eternal Love Story
Tango Charlie
Tezaab – The Acid of Love
The Film
[11]
Topless
U, Bomsi n Me
Vaada
Vaah! Life Ho Toh Aisi!
Vidyaarthi
Viruddh... Family Comes First
Yahaan
Yakeen
Zameer: The Fire Within
Zeher
Dhoom 2
Krrish
Lage Raho Munna Bhai
Kabhi Alvida Naa Kehna
Don
Fanaa
Rang De Basanti
Phir Hera Pheri
Bhagam Bhag
Vivah
36 China Town
Aap Ki Khatir
Aatma
Adharm
Ahista Ahista
Aisa Kyon Hota Hai?
Aksar
Alag
Anjaan
Ankahee
Anthony Kaun Hai?
Apna Sapna Money Money
Aryan: Unbreakable
Baabul
Banaras
Bas Ek Pal
Being Cyrus
Bhoot Unkle
Chand Ke Paar Chalo
Chingaari
Chup Chup Ke
Corporate
Darna Zaroori Hai
Darwaaza Bandh Rakho
Deadline: Sirf 24 Ghante
Devaki
Dharti Kahe Pukar Ke
Dil Diya Hai
Dor
Eight: The Power of Shani
Family
Fight Club – Members Only
Gangster
Golmaal: Fun Unlimited
Haseena
Holiday
Humko Deewana Kar Gaye
Humko Tumse Pyaar Hai
Iqraar by Chance
I See You
Jaane Hoga Kya
Jaadu Sa Chal Gaya
Jaana - Let's Fall In Love
Jaan-E-Mann
Jawani Diwani
Jigyaasa
Kabul Express
Khosla Ka Ghosla
Kudiyon Ka Hai Zamana
Lady Chatterjee - Sawan Dutta
Love Ke Chakkar Mein
Madhubaala
Malamaal Weekly
Mere Jeevan Saathi
Meri Jung
Mirza Sahiba
Mobile Phone
Mr 100% - The Real Player
Naksha
Omkara
Prateeksha
Pyaar Ke Side Effects
Pyare Mohan
Rafta Rafta
Rehguzar - The Road to Destiny
Rocky
Saawan... The Love Season
Sacred Evil – A True Story
Salaam Bacche
Sandwich
Sarhad Paar
Shaadi Karke Phas Gaya Yaar
Shaadi Se Pehle
Shiva
Souten: The Other Woman
Strings - Bound By Faith
Sun Zara
Tathastu
Taxi No. 9211
Teesri Aankh: The Hidden Camera
The Killer
The Real Dream Girls
Tom Dick And Harry
Umar
Umrao Jaan
Unns...Means Love
Utthaan
White Rainbow
Woh Lamhe...
Yun Hota Toh Kya Hota
Zinda
Zindaggi Rocks
Om Shanti Om
Welcome
Partner
Chak De! India
Taare Zameen Par
Heyy Babyy
Guru
Bhool Bhulaiyaa
Namastey London
Ta Ra Rum Pum
1971
50 Lakh
68 Pages
Aag
Aaja Nachle
Aap Kaa Surroor
Aggar
Anjaam
Anwar
Apna Asmaan
Apne
Aur Pappu Paas Ho Gaya
Awarapan
Bal Ganesh
Bheja Fry
Bhram
Big Brother
Black Friday
Blood Brothers
The Blue Umbrella
Bombay to Goa
Buddha Mar Gaya
Cash
Chanchal
Cheeni Kum
Chhodon Naa Yaar
Chooriyan
Cocktail: The Deadly Combination
Darling
Delhii Heights
Dhamaal
Goal
Dharm
Dhokha
Dhol
Dil Dosti Etc
Don't Stop Dreaming
Dus Kahaniyaan
Ek Chalis Ki Last Local
Eklavya: The Royal Guard
Familywala
Fool & Final
Gandhi, My Father
Gauri: The Unborn
Go
Good Boy, Bad Boy
Har Pal
Hastey Hastey
Hattrick
Honeymoon Travels Pvt. Ltd.
Jab We Met
Jahan Jaaeyega Hamen Paaeyega
Jhoom Barabar Jhoom
Johnny Gaddaar
Just Married
Kaafila
Khoya Khoya Chand
Kya Love Story Hai
Laaga Chunari Mein Daag
Life in a... Metro
Life Mein Kabhie Kabhiee
Loins of Punjab Presents
Manorama Six Feet Under
MP3: Mera Pehla Pehla Pyaar
Mumbai Salsa
My Bollywood Bride
Nanhe Jaisalmer
Naqaab
Nehlle Pe Dehlla
Nishabd
No Smoking
Oh My Anand
Raqeeb
Red: The Dark Side
Red Swastik
Risk
Salaam-e-Ishq: A Tribute to Love
Saawariya
Sambar Salsa
Say Salaam India
Shakalaka Boom Boom
Shootout at Lokhandwala
Showbiz
Speed
Strangers
Sunglass
Swami
Traffic Signal
The Train
Victoria No. 203
Yatra
Zamaanat
Ghajini
Rab Ne Bana Di Jodi
Singh Is Kinng
Jodhaa Akbar
Race
Golmaal Returns
Dostana
Bachna Ae Haseeno
Bhoothnath
Sarkar Raj
Humne Jeena Seekh Liya
Halla Bol
My Name Is Anthony Gonsalves
Bombay to Bangkok
Tulsi
Sunday
Rama Rama Kya Hai Dramaa?
Superstar
Black & White
One Two Three
Shaurya
Krazzy 4
U Me Aur Hum
Pehli Nazar Ka Pyaar
Sirf
Tashan
Mr. Black Mr. White
Anamika
Jimmy
Jannat
Don Muthu Swami
Ghatothkach
Woodstock Villa
Aamir
Mere Baap Pehle Aap
Summer 2007
De Taali
Haal-e-Dil
Thoda Pyaar Thoda Magic
Thodi Life Thoda Magic
Via Darjeeling
Jaane Tu... Ya Jaane Na
Love Story 2050
Mehbooba
Kismat Konnection
Contract
Mission Istaanbul
Money Hai Toh Honey Hai
Ugly Aur Pagli
Good Luck!
God Tussi Great Ho
Phoonk
Mumbai Meri Jaan
Maan Gaye Mughal-e-Azam
Rock On!!
C Kkompany
Chamku
Mukhbiir
A Wednesday!
Tahaan
1920
The Last Lear
Welcome to Sajjanpur
Saas Bahu Aur Sensex
Hari Puttar: A Comedy of Terrors
Kidnap
Drona
Hello
Karzzzz
Heroes
Roadside Romeo
Fashion
EMI - Liya Hai Toh Chukana Parega
Ek Vivaah... Aisa Bhi
Dasvidaniya
Deshdrohi
Yuvvraaj
Gumnaam – The Mystery
Oye Lucky! Lucky Oye!
Sorry Bhai!
Maharathi
Dil Kabaddi
Meerabai Not Out
Oh, My God
Wafaa
Jumbo
3 Idiots
Love Aaj Kal
Ajab Prem Ki Ghazab Kahani
Wanted
Billu
De Dana Dan
Kambakkht Ishq
Chandni Chowk to China
Kaminey
All the Best: Fun Begins
Blue
Mumbai Chakachak
Horn 'Ok' Pleassss
Aasma: The Sky Is the Limit
Raaz: The Mystery Continues
Luck by Chance
Victory
Dev.D
Chal Chala Chal
Mere Khwabon Mein Jo Aaye
The Stoneman Murders
Delhi-6
Kisse Pyaar Karoon
13B
Dhoondte Reh Jaaoge
Karma Aur Holi
Jai Veeru
Little Zizou
Gulaal
Aloo Chaat
Barah Aana
Firaaq
Lottery
Straight
Aa Dekhen Zara
Ek: The Power of One
Money
8 x 10 Tasveer
Ek Se Bure Do
Pal Pal Dil Ke Ssaat
Coffee House
School Days
Royal Utsav
Kismatt: This Is Our Journey
Chowrasta Crossroads of Love
Meri Padosan
Sikandar
99
Suno Na, Ek Nanhi Awaaz
Detective Naani
Yeh Pal Ho Na Ho kal
Sanam Teri Kasam
Team - The Force
Kal Kissne Dekha
Zor Lagaa Ke...Haiya!
Let's Dance
Paying Guests
Sankat City
Shortkut
Jashnn
Luck
Agyaat
Chal Chalein
Teree Sang
Life Partner
Three: Love, Lies, Betrayal
Daddy Cool
Kisaan
Love Khichdi
Quick Gun Murugun
Toss
Yeh Mera India
Aagey Se Right
Chintu Ji
Fox
Aamras
Baabarr
Vaada Raha
Dil Bole Hadippa!
Blue Oranges
What's Your Raashee?
Do Knot Disturb
Wake Up Sid
Acid Factory
Main Aurr Mrs Khanna
Bal Ganesh 2
Fruit and Nut
Love Ka Tadka
London Dreams
Aladin
Jail
Tum Mile
Aao Wish Karein
Kurbaan
Shaabash! You Can Do It
Marega Salaa
Radio
Paa
Rocket Singh: Salesman of the Year
Raat Gayi, Baat Gayi?
Accident on Hill Road
 
My Name Is Khan
Golmaal 3
Raajneeti
Housefull
Tees Maar Khan
Once Upon A Time In Mumbaai
I Hate Luv Storys
Anjaana Anjaani
Atithi Tum Kab Jaoge?
Dulha Mil Gaya
Pyaar Impossible!
Chance Pe Dance
Hello! Hum Lallan Bol Rahe Hain
Ishqiya
Rann
Road To Sangam
The Hangman
Striker
Sukhmani: Hope for Life
Aakhari Decision
Click
Toh Baat Pakki!
Karthik Calling Karthik
Teen Patti
Hello Zindagi
Road, Movie
Rokkk
Thanks Maa
Do Dilon Ke Khel Mein
Hide & Seek
Na Ghar Ke Na Ghaat Ke
Right Yaaa Wrong
Trump Card
Idiot Box
Lahore
Love Sex Aur Dhokha
Shaapit
Hum Tum Aur Ghost
It's a Man's World
Mittal v/s Mittal
My Friend Ganesha 3
Prem Kaa Game
Well Done Abba
Pankh
Sadiyaan
Tum Milo Toh Sahi
Jaane Kahan Se Aayi Hai
Prince
The Japanese Wife
Paathshaala
Phoonk 2
Apartment
Bird Idol
City of Gold
Kuchh Kariye
Muskurake Dekh Zara
Chase
Badmaash Company
Bumm Bumm Bole
Admissions Open
Kushti
Kites
Ek Second... Jo Zindagi Badal De?
Raavan
Krantiveer – The Revolution
Mr. Singh Mrs. Mehta
Milenge Milenge
Red Alert: The War Within
Lamhaa
Tere Bin Laden
Khatta Meetha
Once Upon a Time in Mumbaai
Aisha
Help
Peepli Live
Lafangey Parindey
...And Once Again
Hello Darling
Antardwand
Aashayein
Soch Lo
We Are Family
Mallika
The Film Emotional Atyachar
Dabangg
Kings of Devon
Benny and Babloo
Khichdi: The Movie
Crook
Do Dooni Chaar
Pusher
Knock Out
Kajraare
Ramayana: The Epic
Hisss
Jhootha Hi Sahi
Rakta Charitra
Maalik Ek
Nakshatra
Action Replayy
Dunno Y... Na Jaane Kyon
A Flat
Ramaa: The Saviour
Guzaarish
Shahrukh Bola "Khoobsurat Hai Tu"
Diwangi Ne Had Kar Di
Allah Ke Banday
Break Ke Baad
Khuda Kasam
Khelein Hum Jee Jaan Sey
Phas Gaye Re Obama
Rakta Charitra 2
Band Baaja Baaraat
No Problem
332 Mumbai to India
Payback
Kaalo
Mirch
Isi Life Mein...!
Toonpur Ka Superrhero
Tera Kya Hoga Johnny
Ada... A Way of Life
 Bodyguard
Don 2
Ra.One
Ready
Zindagi Na Milegi Dobara
Singham
The Dirty Picture
Rockstar
Murder 2
Delhi Belly
No One Killed Jessica
Impatient Vivek
Yamla Pagla Deewana
Turning 30!!!
Mumbai Mast Kallander
Odyssey of Persistence
Dhobi Ghat
Hostel
Dil Toh Baccha Hai Ji
Yeh Saali Zindagi
United Six
Utt Pataang
Angel
Patiala House
Aashiqui.in
7 Khoon Maaf
Kaccha Limbo
Masti Express
Tanu Weds Manu
Satrangee Parachute
Yeh Faasley
Happy Husbands
Monica
Game
F.A.L.T.U
Memories in March
Thank You
Teen Thay Bhai
Dum Maaro Dum
Zokkomon
Shor in the City
Chalo Dilli
I Am
Naughty @ 40
Luv Ka The End
Haunted – 3D
Love U...Mr. Kalakaar!
Ragini MMS
Shagird
Stanley Ka Dabba
404
Crackers
Pyaar Ka Punchnama
Kucch Luv Jaisaa
Shaitan
Bheja Fry 2
Always Kabhi Kabhi
Bhindi Baazaar Inc.
Bin Bulaye Baraati
Double Dhamaal
Bbuddah... Hoga Terra Baap
Chillar Party
Khap
Gandhi to Hitler
Bubble Gum
Chala Mussaddi... Office Office
I Am Kalam
Milta Hai Chance By Chance
Warning
Aarakshan
Phhir
Chatur Singh Two Star
Not a Love Story
Sahi Dhandhe Galat Bande
Chitkabrey – Shades of Grey
Shabri
Yeh Dooriyan
Bodyguard
Mummy Punjabi
That Girl in Yellow Boots
Mere Brother Ki Dulhan
Rivaaz
Mausam
Breakaway
U R My Jaan
Force
Hum Tum Shabana
Saheb, Biwi Aur Gangster
Tere Mere Phere
Chargesheet
Na Jaane Kabse Hum Hi
Rascals
Love Breakups Zindagi
My Friend Pinto
Mujhse Fraaandship Karoge
Mod
Aazaan
Oh God! Saare Hain Fraud
Tell Me O Kkhuda
Damadamm!
Loot
Miley Naa Miley Hum
Super K – The Movie
Shakal Pe Mat Ja
Desi Boyz
I Am Singh
Ladies vs Ricky Bahl
Jo Hum Chahein
Pappu Can't Dance Saala
Ek Tha Tiger
Dabangg 2
Jab Tak Hai Jaan
Rowdy Rathore
Agneepath
Barfi!
Talaash: The Answer Lies Within
Housefull 2
Bol Bachchan
Son of Sardaar
Players
Chaalis Chauraasi
Ghost
Sadda Adda
Gali Gali Chor Hai
Staying Alive
Love You To Death
Ek Main Aur Ekk Tu
Valentine's Night
Ekk Deewana Tha
?: A Question Mark
Married 2 America
Jodi Breakers
Tere Naal Love Ho Gaya
London, Paris, New York
Paan Singh Tomar
Will You Marry Me?
